klic,zapsano,kolo,datum,domaci,hoste,model,p_domaci,p_remiza,p_hoste,tip,skore,vysledek
4|FC Baník Ostrava|SK Artis Brno|index_sily,2026-08-16 16:17:31,4,2026-08-16 13:00,FC Baník Ostrava,SK Artis Brno,index_sily,0.459018,0.259401,0.281581,1X (Neprohra domácích),1:0,1
4|FC Baník Ostrava|SK Artis Brno|poisson,2026-08-16 16:17:31,4,2026-08-16 13:00,FC Baník Ostrava,SK Artis Brno,poisson,0.351576,0.265718,0.382706,02 (Neprohra hostů),1:0,1
4|FC Baník Ostrava|SK Artis Brno|elo,2026-08-16 16:17:31,4,2026-08-16 13:00,FC Baník Ostrava,SK Artis Brno,elo,0.428976,0.29004,0.280985,1X (Neprohra domácích),1:0,1
4|FC Baník Ostrava|SK Artis Brno|ensemble,2026-08-16 16:17:31,4,2026-08-16 13:00,FC Baník Ostrava,SK Artis Brno,ensemble,0.41319,0.27172,0.315091,1X (Neprohra domácích),1:0,1
4|FC Slovan Liberec|SK Slavia Praha|index_sily,2026-08-16 16:17:31,4,2026-08-16 18:00,FC Slovan Liberec,SK Slavia Praha,index_sily,0.204913,0.193089,0.601997,2 (Výhra hostů),1:1,0
4|FC Slovan Liberec|SK Slavia Praha|poisson,2026-08-16 16:17:31,4,2026-08-16 18:00,FC Slovan Liberec,SK Slavia Praha,poisson,0.235849,0.259072,0.505079,02 (Neprohra hostů),1:1,0
4|FC Slovan Liberec|SK Slavia Praha|elo,2026-08-16 16:17:31,4,2026-08-16 18:00,FC Slovan Liberec,SK Slavia Praha,elo,0.396774,0.296293,0.306933,1X (Neprohra domácích),1:1,0
4|FC Slovan Liberec|SK Slavia Praha|ensemble,2026-08-16 16:17:31,4,2026-08-16 18:00,FC Slovan Liberec,SK Slavia Praha,ensemble,0.279179,0.249485,0.471336,02 (Neprohra hostů),1:1,0
4|FC Zbrojovka Brno|FC Hradec Králové|index_sily,2026-08-16 16:17:31,4,2026-09-02 16:00,FC Zbrojovka Brno,FC Hradec Králové,index_sily,0.314541,0.27356,0.4119,02 (Neprohra hostů),,
4|FC Zbrojovka Brno|FC Hradec Králové|poisson,2026-08-16 16:17:31,4,2026-09-02 16:00,FC Zbrojovka Brno,FC Hradec Králové,poisson,0.337828,0.310991,0.351181,02 (Neprohra hostů),,
4|FC Zbrojovka Brno|FC Hradec Králové|elo,2026-08-16 16:17:31,4,2026-09-02 16:00,FC Zbrojovka Brno,FC Hradec Králové,elo,0.391674,0.29703,0.311297,1X (Neprohra domácích),,
4|FC Zbrojovka Brno|FC Hradec Králové|ensemble,2026-08-16 16:17:31,4,2026-09-02 16:00,FC Zbrojovka Brno,FC Hradec Králové,ensemble,0.348014,0.29386,0.358126,02 (Neprohra hostů),,
4|Bohemians Praha 1905|FK Jablonec|index_sily,2026-08-16 16:17:31,4,2026-09-02 18:00,Bohemians Praha 1905,FK Jablonec,index_sily,0.192438,0.178787,0.628775,2 (Výhra hostů),,
4|Bohemians Praha 1905|FK Jablonec|poisson,2026-08-16 16:17:31,4,2026-09-02 18:00,Bohemians Praha 1905,FK Jablonec,poisson,0.249555,0.312893,0.437552,02 (Neprohra hostů),,
4|Bohemians Praha 1905|FK Jablonec|elo,2026-08-16 16:17:31,4,2026-09-02 18:00,Bohemians Praha 1905,FK Jablonec,elo,0.386291,0.297725,0.315984,1X (Neprohra domácích),,
4|Bohemians Praha 1905|FK Jablonec|ensemble,2026-08-16 16:17:31,4,2026-09-02 18:00,Bohemians Praha 1905,FK Jablonec,ensemble,0.276095,0.263135,0.46077,02 (Neprohra hostů),,
5|FC Zlín|FC Slovan Liberec|index_sily,2026-08-16 16:17:31,5,2026-08-22 15:00,FC Zlín,FC Slovan Liberec,index_sily,0.133254,0.106031,0.760715,2 (Výhra hostů),,
5|FC Zlín|FC Slovan Liberec|poisson,2026-08-16 16:17:31,5,2026-08-22 15:00,FC Zlín,FC Slovan Liberec,poisson,0.188435,0.266143,0.545422,02 (Neprohra hostů),,
5|FC Zlín|FC Slovan Liberec|elo,2026-08-16 16:17:31,5,2026-08-22 15:00,FC Zlín,FC Slovan Liberec,elo,0.359245,0.299845,0.340911,1X (Neprohra domácích),,
5|FC Zlín|FC Slovan Liberec|ensemble,2026-08-16 16:17:31,5,2026-08-22 15:00,FC Zlín,FC Slovan Liberec,ensemble,0.226978,0.224006,0.549016,02 (Neprohra hostů),,
5|FK Mladá Boleslav|1. FC Slovácko|index_sily,2026-08-16 16:17:31,5,2026-08-22 15:00,FK Mladá Boleslav,1. FC Slovácko,index_sily,0.903595,0.030905,0.0655,1 (Výhra domácích),,
5|FK Mladá Boleslav|1. FC Slovácko|poisson,2026-08-16 16:17:31,5,2026-08-22 15:00,FK Mladá Boleslav,1. FC Slovácko,poisson,0.676186,0.194293,0.129521,1 (Výhra domácích),,
5|FK Mladá Boleslav|1. FC Slovácko|elo,2026-08-16 16:17:31,5,2026-08-22 15:00,FK Mladá Boleslav,1. FC Slovácko,elo,0.471287,0.278226,0.250487,1X (Neprohra domácích),,
5|FK Mladá Boleslav|1. FC Slovácko|ensemble,2026-08-16 16:17:31,5,2026-08-22 15:00,FK Mladá Boleslav,1. FC Slovácko,ensemble,0.683689,0.167808,0.148503,1 (Výhra domácích),,
5|SK Artis Brno|AC Sparta Praha|index_sily,2026-08-16 16:17:31,5,2026-08-22 15:00,SK Artis Brno,AC Sparta Praha,index_sily,0.25991,0.2452,0.49489,02 (Neprohra hostů),,
5|SK Artis Brno|AC Sparta Praha|poisson,2026-08-16 16:17:31,5,2026-08-22 15:00,SK Artis Brno,AC Sparta Praha,poisson,0.297942,0.232263,0.469795,02 (Neprohra hostů),,
5|SK Artis Brno|AC Sparta Praha|elo,2026-08-16 16:17:31,5,2026-08-22 15:00,SK Artis Brno,AC Sparta Praha,elo,0.388977,0.297389,0.313634,1X (Neprohra domácích),,
5|SK Artis Brno|AC Sparta Praha|ensemble,2026-08-16 16:17:31,5,2026-08-22 15:00,SK Artis Brno,AC Sparta Praha,ensemble,0.315609,0.258284,0.426107,02 (Neprohra hostů),,
5|SK Slavia Praha|Bohemians Praha 1905|index_sily,2026-08-16 16:17:31,5,2026-08-22 18:00,SK Slavia Praha,Bohemians Praha 1905,index_sily,0.863909,0.050567,0.085524,1 (Výhra domácích),,
5|SK Slavia Praha|Bohemians Praha 1905|poisson,2026-08-16 16:17:31,5,2026-08-22 18:00,SK Slavia Praha,Bohemians Praha 1905,poisson,0.639523,0.215917,0.14456,1 (Výhra domácích),,
5|SK Slavia Praha|Bohemians Praha 1905|elo,2026-08-16 16:17:31,5,2026-08-22 18:00,SK Slavia Praha,Bohemians Praha 1905,elo,0.442633,0.286632,0.270735,1X (Neprohra domácích),,
5|SK Slavia Praha|Bohemians Praha 1905|ensemble,2026-08-16 16:17:31,5,2026-08-22 18:00,SK Slavia Praha,Bohemians Praha 1905,ensemble,0.648689,0.184372,0.16694,1 (Výhra domácích),,
5|FK Jablonec|FC Baník Ostrava|index_sily,2026-08-16 16:17:31,5,2026-08-23 13:00,FK Jablonec,FC Baník Ostrava,index_sily,0.729938,0.123083,0.146979,1 (Výhra domácích),,
5|FK Jablonec|FC Baník Ostrava|poisson,2026-08-16 16:17:31,5,2026-08-23 13:00,FK Jablonec,FC Baník Ostrava,poisson,0.627913,0.240088,0.131999,1 (Výhra domácích),,
5|FK Jablonec|FC Baník Ostrava|elo,2026-08-16 16:17:31,5,2026-08-23 13:00,FK Jablonec,FC Baník Ostrava,elo,0.453924,0.283513,0.262563,1X (Neprohra domácích),,
5|FK Jablonec|FC Baník Ostrava|ensemble,2026-08-16 16:17:31,5,2026-08-23 13:00,FK Jablonec,FC Baník Ostrava,ensemble,0.603925,0.215561,0.180514,1 (Výhra domácích),,
5|FK Teplice|FC Zbrojovka Brno|index_sily,2026-08-16 16:17:31,5,2026-08-23 15:00,FK Teplice,FC Zbrojovka Brno,index_sily,0.447369,0.263451,0.28918,1X (Neprohra domácích),,
5|FK Teplice|FC Zbrojovka Brno|poisson,2026-08-16 16:17:31,5,2026-08-23 15:00,FK Teplice,FC Zbrojovka Brno,poisson,0.375712,0.23992,0.384368,02 (Neprohra hostů),,
5|FK Teplice|FC Zbrojovka Brno|elo,2026-08-16 16:17:31,5,2026-08-23 15:00,FK Teplice,FC Zbrojovka Brno,elo,0.426135,0.290695,0.28317,1X (Neprohra domácích),,
5|FK Teplice|FC Zbrojovka Brno|ensemble,2026-08-16 16:17:31,5,2026-08-23 15:00,FK Teplice,FC Zbrojovka Brno,ensemble,0.416405,0.264689,0.318906,1X (Neprohra domácích),,
5|SK Sigma Olomouc|FK Pardubice|index_sily,2026-08-16 16:17:31,5,2026-08-23 18:00,SK Sigma Olomouc,FK Pardubice,index_sily,0.809009,0.079589,0.111402,1 (Výhra domácích),,
5|SK Sigma Olomouc|FK Pardubice|poisson,2026-08-16 16:17:31,5,2026-08-23 18:00,SK Sigma Olomouc,FK Pardubice,poisson,0.534462,0.254397,0.211141,1X (Neprohra domácích),,
5|SK Sigma Olomouc|FK Pardubice|elo,2026-08-16 16:17:31,5,2026-08-23 18:00,SK Sigma Olomouc,FK Pardubice,elo,0.460269,0.281647,0.258084,1X (Neprohra domácích),,
5|SK Sigma Olomouc|FK Pardubice|ensemble,2026-08-16 16:17:31,5,2026-08-23 18:00,SK Sigma Olomouc,FK Pardubice,ensemble,0.601247,0.205211,0.193542,1 (Výhra domácích),,
5|FC Hradec Králové|FC Viktoria Plzeň|index_sily,2026-08-16 21:59:14,5,2026-08-23 17:00,FC Hradec Králové,FC Viktoria Plzeň,index_sily,0.717222,0.130143,0.152635,1 (Výhra domácích),,
5|FC Hradec Králové|FC Viktoria Plzeň|poisson,2026-08-16 21:59:14,5,2026-08-23 17:00,FC Hradec Králové,FC Viktoria Plzeň,poisson,0.551123,0.295021,0.153855,1 (Výhra domácích),,
5|FC Hradec Králové|FC Viktoria Plzeň|elo,2026-08-16 21:59:14,5,2026-08-23 17:00,FC Hradec Králové,FC Viktoria Plzeň,elo,0.445066,0.285983,0.268952,1X (Neprohra domácích),,
5|FC Hradec Králové|FC Viktoria Plzeň|ensemble,2026-08-16 21:59:14,5,2026-08-23 17:00,FC Hradec Králové,FC Viktoria Plzeň,ensemble,0.571137,0.237049,0.191814,1 (Výhra domácích),,
6|Bohemians Praha 1905|FK Mladá Boleslav|index_sily,2026-08-17 10:08:16,6,29.08.2026 17:00,Bohemians Praha 1905,FK Mladá Boleslav,index_sily,0.279861,0.258417,0.461721,02 (Neprohra hostů),,
6|Bohemians Praha 1905|FK Mladá Boleslav|poisson,2026-08-17 10:08:16,6,29.08.2026 17:00,Bohemians Praha 1905,FK Mladá Boleslav,poisson,0.297964,0.279932,0.422104,02 (Neprohra hostů),,
6|Bohemians Praha 1905|FK Mladá Boleslav|elo,2026-08-17 10:08:16,6,29.08.2026 17:00,Bohemians Praha 1905,FK Mladá Boleslav,elo,0.391566,0.297045,0.31139,1X (Neprohra domácích),,
6|Bohemians Praha 1905|FK Mladá Boleslav|ensemble,2026-08-17 10:08:16,6,29.08.2026 17:00,Bohemians Praha 1905,FK Mladá Boleslav,ensemble,0.32313,0.278465,0.398405,02 (Neprohra hostů),,
6|FC Zbrojovka Brno|FC Zlín|index_sily,2026-08-17 10:08:16,6,29.08.2026 17:00,FC Zbrojovka Brno,FC Zlín,index_sily,0.846204,0.059752,0.094044,1 (Výhra domácích),,
6|FC Zbrojovka Brno|FC Zlín|poisson,2026-08-17 10:08:16,6,29.08.2026 17:00,FC Zbrojovka Brno,FC Zlín,poisson,0.586273,0.246324,0.167403,1 (Výhra domácích),,
6|FC Zbrojovka Brno|FC Zlín|elo,2026-08-17 10:08:16,6,29.08.2026 17:00,FC Zbrojovka Brno,FC Zlín,elo,0.456152,0.282867,0.260981,1X (Neprohra domácích),,
6|FC Zbrojovka Brno|FC Zlín|ensemble,2026-08-17 10:08:16,6,29.08.2026 17:00,FC Zbrojovka Brno,FC Zlín,ensemble,0.629543,0.196314,0.174143,1 (Výhra domácích),,
6|FK Pardubice|SK Artis Brno|index_sily,2026-08-17 10:08:16,6,29.08.2026 17:00,FK Pardubice,SK Artis Brno,index_sily,0.357608,0.279984,0.362408,02 (Neprohra hostů),,
6|FK Pardubice|SK Artis Brno|poisson,2026-08-17 10:08:16,6,29.08.2026 17:00,FK Pardubice,SK Artis Brno,poisson,0.379481,0.288908,0.331611,1X (Neprohra domácích),,
6|FK Pardubice|SK Artis Brno|elo,2026-08-17 10:08:16,6,29.08.2026 17:00,FK Pardubice,SK Artis Brno,elo,0.415769,0.292924,0.291308,1X (Neprohra domácích),,
6|FK Pardubice|SK Artis Brno|ensemble,2026-08-17 10:08:16,6,29.08.2026 17:00,FK Pardubice,SK Artis Brno,ensemble,0.384286,0.287272,0.328442,1X (Neprohra domácích),,
6|FC Baník Ostrava|SK Sigma Olomouc|index_sily,2026-08-17 10:08:16,6,29.08.2026 20:00,FC Baník Ostrava,SK Sigma Olomouc,index_sily,0.315437,0.273824,0.410739,02 (Neprohra hostů),,
6|FC Baník Ostrava|SK Sigma Olomouc|poisson,2026-08-17 10:08:16,6,29.08.2026 20:00,FC Baník Ostrava,SK Sigma Olomouc,poisson,0.281034,0.28099,0.437977,02 (Neprohra hostů),,
